date,weekday,rhr(bpm)
4/23/2021,Fri,48
4/24/2021,Sat,45
4/25/2021,Sun,52
4/26/2021,Mon,49
4/27/2021,Tue,47
4/28/2021,Wed,48
4/29/2021,Thu,46
4/30/2021,Fri,51
5/1/2021,Sat,49
5/2/2021,Sun,47
5/3/2021,Mon,53
5/4/2021,Tue,50
5/5/2021,Wed,47
5/6/2021,Thu,45
5/7/2021,Fri,45
5/8/2021,Sat,52
5/9/2021,Sun,45
5/10/2021,Mon,46
5/11/2021,Tue,45
5/12/2021,Wed,47
5/13/2021,Thu,44
5/14/2021,Fri,46
5/15/2021,Sat,46
5/16/2021,Sun,48
5/17/2021,Mon,47
5/18/2021,Tue,74
5/19/2021,Wed,49
5/20/2021,Thu,46
5/21/2021,Fri,44
5/22/2021,Sat,48
5/23/2021,Sun,45
5/24/2021,Mon,43
5/25/2021,Tue,52
5/26/2021,Wed,49
5/27/2021,Thu,44
5/28/2021,Fri,45
5/29/2021,Sat,45
5/30/2021,Sun,45
5/31/2021,Mon,54
6/1/2021,Tue,52
6/2/2021,Wed,47
6/3/2021,Thu,54
6/4/2021,Fri,58
6/5/2021,Sat,47
6/6/2021,Sun,48
6/7/2021,Mon,56
6/8/2021,Tue,52
6/9/2021,Wed,47
6/10/2021,Thu,48
6/11/2021,Fri,47
6/12/2021,Sat,47
6/13/2021,Sun,47
6/14/2021,Mon,47
6/15/2021,Tue,46
6/16/2021,Wed,48
6/17/2021,Thu,47
6/18/2021,Fri,45
6/19/2021,Sat,53
6/20/2021,Sun,47
6/21/2021,Mon,47
6/22/2021,Tue,45
6/23/2021,Wed,46
6/24/2021,Thu,45
6/25/2021,Fri,45
6/26/2021,Sat,45
6/27/2021,Sun,45
6/28/2021,Mon,46
6/29/2021,Tue,46
6/30/2021,Wed,44
7/1/2021,Thu,45
7/2/2021,Fri,45
7/3/2021,Sat,45
7/4/2021,Sun,45
7/5/2021,Mon,45
7/6/2021,Tue,44
7/7/2021,Wed,47
7/8/2021,Thu,43
7/9/2021,Fri,46
7/10/2021,Sat,42
7/11/2021,Sun,42
7/12/2021,Mon,45
7/13/2021,Tue,46
7/14/2021,Wed,46
7/15/2021,Thu,45
7/16/2021,Fri,46
7/17/2021,Sat,46
7/18/2021,Sun,47
7/19/2021,Mon,46
7/20/2021,Tue,45
7/21/2021,Wed,46
7/22/2021,Thu,46
7/23/2021,Fri,48
7/24/2021,Sat,42
7/25/2021,Sun,48
