weekDay,date,Activity Type,dateTime,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Elev Gain,Elev Loss,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Training Stress Score®,Grit,Flow,Climb Time,Bottom Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Run Type,Distance Type,Weather,Location,Shoes
Sunday,3/1/2020,,3/1/2020 9:25,,,14.01,,1:45:28,,,,,,7:31,,,,,,,,,,,,,,,,,,Distance,Long Distance,,"Snapfinger, Old Lexington Neighborhood, Old Lexington, Whit Davis",Nike Epic React 2
Monday,3/2/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuesday,3/3/2020,,3/3/2020 17:26,,,5.58,,43:10:00,,,,,,7:44,,,,,,,,,,,,,,,,,,Recovery,Mid Distance,"65,cloudy",Campus,Brooks Ghost 11
Wednesday,3/4/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rest,,,,
Thursday,3/5/2020,,3/5/2020 18:13,,,3.13,,20:46,,,,,,6:38,,,,,,,,,,,,,,,,,,Tempo,Short Distance,,Barnett Shoals,Nike Epic React 2
Friday,3/6/2020,,3/6/2020 17:00,,,6.01,,45:31:00,,,,,,7:35,,,,,,,,,,,,,,,,,,Recovery,Mid Distance,"54,sunny",Campus,Brooks Ghost 11
Saturday,3/7/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rest,,,,
Sunday,3/8/2020,,3/8/2020 8:28,,,16.01,,2:06:20,,,,,,7:54,,,,,,,,,,,,,,,,,,Distance,Long Distance,"33,sunny","Barnett Shoals, College Station, Campus",Nike Epic React 2
Monday,3/9/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuesday,3/10/2020,,3/10/2020 17:48,,,5,,37:59:00,,,,,,7:35,,,,,,,,,,,,,,,,,,Recovery,Mid Distance,"65, cloudy","Snapfinger, Barnett Shoals",Nike Epic React 2
Wednesday,3/11/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thursday,3/12/2020,,3/12/2020 18:35,,,2.91,,25:33:00,,,,,,8:46,,,,,,,,,,,,,,,,,,Recovery,Short Distance,,ARC Terrapin Run,Brooks Ghost 11
Friday,3/13/2020,,3/13/2020 18:11,,,4.88,,39.05,,,,,,8:00,,,,,,,,,,,,,,,,,,Recovery,Mid Distance,,"Snapfinger, Barnett Shoals",Nike Epic React 2
Saturday,3/14/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunday,3/15/2020,,3/15/2020 7:38,,,10,,1:21:21,,,,,,8:08,,,,,,,,,,,,,,,,,,Distance,Long Distance,,"Snapfinger, Ashton Place, Old Lexington",Nike Epic React 2
Monday,3/16/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cross Train,,,,
Tuesday,3/17/2020,,3/17/2020 7:10,,,5,,38:41:00,,,,,,7:43,,,,,,,,,,,,,,,,,,Recovery,Mid Distance,,"Snapfinger, Barnett Shoals",Nike Epic React 2
Wednesday,3/18/2020,,3/18/2020 7:27,,,2.61,,0:22:21,,,,,,,,,,,,,,,,,,,,,,,,Track,Short Distance,"51,cloudy",Track,Brooks Ghost 11
Thursday,3/19/2020,,3/19/2020 6:41,,,8.01,,1:06:14,,,,,,8:16,,,,,,,,,,,,,,,,,,Recovery,Mid Distance,foggy,"Barnett Shoals, Ashton Place, Old Lexington",Brooks Ghost 11
Friday,3/20/2020,,3/20/2020 6:30,,,3.72,,0:34:37,,,,,,,,,,,,,,,,,,,,,,,,Track,Short Distance,clear,Track,Brooks Ghost 11
Saturday,3/21/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rest,,,,
Sunday,3/22/2020,,3/22/2020 6:59,,,12.01,,1:32:53,,,,,,7:44,,,,,,,,,,,,,,,,,,Distance,Long Distance,clear,"Snapfinger, Ashton Place, Old Lexington, Whit Davis",Nike Epic React 2
Monday,3/23/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rest,,,,
Tuesday,3/24/2020,,3/24/2020 6:40,,,3.79,,0:35:24,,,,,,,,,,,,,,,,,,,,,,,,Track,Short Distance,"55, clear",Track,Brooks Ghost 11
Wednesday,3/25/2020,,3/25/2020 6:24,,,8.08,,1:07:23,,,,,,8:19,,,,,,,,,,,,,,,,,,Recovery,Mid Distance,foggy,"Whitehall Village, Barnett Shoals, Ashton Place, Old Lexington",Brooks Ghost 11
Thursday,3/26/2020,,3/26/2020 6:39,,,3.76,,0:36:50,,,,,,,,,,,,,,,,,,,,,,,,Track,Short Distance,clear,Track,Brooks Ghost 11
